"filename", "language", "TypeScript React", "JavaScript", "compressionTargetFile", "TypeScript", "CSS", "JSON with Comments", "JSON", "HTML", "SQL", "Java", "comment", "blank", "total"
"/Users/omarelmasaoudi/Desktop/aom/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 3, 25
"/Users/omarelmasaoudi/Desktop/aom/client/tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"/Users/omarelmasaoudi/Desktop/aom/client/vite.config.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 3, 9
"/Users/omarelmasaoudi/Desktop/aom/database_design.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 89
"/Users/omarelmasaoudi/Desktop/aom/db_querytst.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/omarelmasaoudi/Desktop/aom/previous Iterations/AddStock/AddMedStock.tsx", "TypeScript React", 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 171
"/Users/omarelmasaoudi/Desktop/aom/previous Iterations/AddStock/AddPartStock.tsx", "TypeScript React", 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 219
"/Users/omarelmasaoudi/Desktop/aom/previous Iterations/AddStock/AddPlane.tsx", "TypeScript React", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 170
"/Users/omarelmasaoudi/Desktop/aom/previous Iterations/AddStock/AddSupplier.tsx", "TypeScript React", 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 188
"/Users/omarelmasaoudi/Desktop/aom/server/Images/aomlogo.png", "compressionTargetFile", 0, 0, 415, 0, 0, 0, 0, 0, 0, 0, 0, 2, 417
"/Users/omarelmasaoudi/Desktop/aom/server/Services/ExportPartPOService.js", "JavaScript", 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39, 252
"/Users/omarelmasaoudi/Desktop/aom/server/Services/ExportTableService.js", "JavaScript", 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36, 209
"/Users/omarelmasaoudi/Desktop/aom/server/Services/Notifications.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 16
"/Users/omarelmasaoudi/Desktop/aom/server/Services/PurchaseOrderService.js", "JavaScript", 0, 322, 0, 0, 0, 0, 0, 0, 0, 0, 11, 62, 395
"/Users/omarelmasaoudi/Desktop/aom/server/config/passport.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/omarelmasaoudi/Desktop/aom/server/cryptography/createKeypair.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 35
"/Users/omarelmasaoudi/Desktop/aom/server/cryptography/decrypt.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/Users/omarelmasaoudi/Desktop/aom/server/cryptography/encrypt.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 20
"/Users/omarelmasaoudi/Desktop/aom/server/cryptography/mainCrypto.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 26
"/Users/omarelmasaoudi/Desktop/aom/server/cryptography/signMessage.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 41
"/Users/omarelmasaoudi/Desktop/aom/server/cryptography/verifyIdentity.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"/Users/omarelmasaoudi/Desktop/aom/server/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 2473, 0, 0, 0, 0, 1, 2474
"/Users/omarelmasaoudi/Desktop/aom/server/package.json", "JSON", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
"/Users/omarelmasaoudi/Desktop/aom/server/routes/Maintanance_stock.js", "JavaScript", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 138
"/Users/omarelmasaoudi/Desktop/aom/server/routes/Med_stock.js", "JavaScript", 0, 334, 0, 0, 0, 0, 0, 0, 0, 0, 4, 50, 388
"/Users/omarelmasaoudi/Desktop/aom/server/routes/MedicalEquipmentStock.js", "JavaScript", 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24, 197
"/Users/omarelmasaoudi/Desktop/aom/server/routes/Missions.js", "JavaScript", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 10, 25, 158
"/Users/omarelmasaoudi/Desktop/aom/server/routes/Orders.js", "JavaScript", 0, 510, 0, 0, 0, 0, 0, 0, 0, 0, 12, 78, 600
"/Users/omarelmasaoudi/Desktop/aom/server/routes/Stock.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"/Users/omarelmasaoudi/Desktop/aom/server/routes/Suppliers.js", "JavaScript", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 123
"/Users/omarelmasaoudi/Desktop/aom/server/routes/planes.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 92
"/Users/omarelmasaoudi/Desktop/aom/server/routes/users.js", "JavaScript", 0, 397, 0, 0, 0, 0, 0, 0, 0, 0, 46, 49, 492
"/Users/omarelmasaoudi/Desktop/aom/server/routes/users.json", "JSON", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"/Users/omarelmasaoudi/Desktop/aom/server/server.js", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 87
"Total", "-", 12009, 2749, 979, 5, 20, 20, 9080, 17, 90, 134, 262, 1390, 26755
